Date,Open,ASKHI,BIDLO,Close,PRC,Volume,RET,SHROUT,TP,vwretx
5/11/2021,73.57,76.93,72.75,76.830002,76.830002,51008200,0.011054139,1232000000,3851289161,0.111973823
5/12/2021,75.089996,76.129997,74.160004,74.639999,74.639999,42531400,-0.028504529,1232000000,3188862601,-0.172001253
5/13/2021,75.209999,75.699997,72.5,73.089996,73.089996,48646800,-0.020766386,1232000000,3588350010,0.12527583
5/14/2021,74.019997,75.029999,72.720001,74.589996,74.589996,38355800,0.020522644,1232000000,2842676140,-0.207804107
5/17/2021,74.220001,75.519997,73.410004,74.650002,74.650002,40779200,0.000804478,1232000000,3039137886,0.069111547
5/18/2021,74.739998,75.769997,74.239998,74.440002,74.440002,31982500,-0.002813128,1232000000,2392824010,-0.212663558
5/19/2021,73.160004,76.970001,72.760002,76.230003,76.230003,73966200,0.024046225,1232000000,5571134332,1.328267482
5/20/2021,76.809998,78.269997,76.25,78.059998,78.059998,49135000,0.02400623,1232000000,3809272685,-0.316248279
5/21/2021,78.550003,78.809998,77.040001,77.169998,77.169998,40201100,-0.011401486,1232000000,3122553400,-0.180275696
5/24/2021,77.260002,78.010002,76.800003,77.440002,77.440002,33194300,0.003498821,1232000000,2569792136,-0.177022197
5/25/2021,77.330002,78.769997,76.839996,77.860001,77.860001,47353100,0.005423541,1232000000,3685175991,0.434036605
5/26/2021,77.830002,78.589996,77.589996,78.339996,78.339996,30354000,0.006164847,1232000000,2372873239,-0.356103143
5/27/2021,78.110001,78.43,77.470001,78.419998,78.419998,35883200,0.001021215,1232000000,2802717129,0.181149117
5/28/2021,78.660004,81.089996,78.660004,80.080002,80.080002,40952700,0.021168121,1232000000,3273895374,0.168114805
6/1/2021,81.010002,82.910004,80.660004,80.809998,80.809998,43433000,0.009115834,1232000000,3538052267,0.080685808
6/2/2021,81,82.599998,80.660004,81.970001,81.970001,35203200,0.014354697,1232000000,2877626947,-0.186663528
6/3/2021,81.129997,81.889999,80.260002,80.279999,80.279999,29812000,-0.020617323,1232000000,2409107720,-0.162814443
